,work_year,early_return_amount,issue_date_dayofweek,pub_dero_bankrup,region,f2,f0,employer_type,total_loan,house_exist,recircle_b,del_in_18month,loan_id,initial_list_status,scoring_high,f3,scoring_low,earlies_to_current_mon,earliesCreditYear,year_of_loan,earliesCreditMon,censor_status,early_return,isDefault,monthly_payment,title,early_return_amount_3mon,industry,interest,class,use,f4,issue_date_month,recircle_u,user_id,post_code,debt_loan_ratio
0,6,247,0,0.0,14,1.0,0.0,3,1000.0,1,0.0,0,1022470,1,837.8787879,3.0,718.1818182,1431,2011,3,7,2,3,0,32.27,8,49.4,3,8.991,2,7,2.0,6,0.0,222470,66,12.84
1,7,2722,0,0.0,26,3.0,0.0,4,10909.09091,2,0.0,0,1047472,0,768.1818182,6.0,709.0909091,5754,2002,3,4,1,3,0,307.5,3,272.2,1,6.048,1,3,6.0,1,0.0,247472,354,0.0
2,-1,0,0,0.0,8,7.0,0.0,4,4375.0,1,0.0,0,1044310,1,869.1666667,6.0,745.0,3318,2007,3,1,2,0,0,171.9,0,0.0,13,26.521,6,0,3.0,2,0.0,244310,136,27.31636364
3,4,4634,0,0.0,33,17.0,0.0,4,21818.18182,0,0.0,0,1007737,0,695.4545455,6.0,556.3636364,7031,1996,3,11,1,0,0,643.0,5,0.0,10,10.725,2,2,4.0,2,0.0,207737,135,11.44
4,2,1648,2,0.0,10,3.0,0.0,3,5236.363636,0,0.0,0,1043757,0,620.4545455,9.0,572.7272727,2131,2010,3,8,2,0,0,159.41,5,0.0,11,11.99,3,2,5.0,6,0.0,243757,324,13.77
5,10,5446,3,0.0,8,10.0,0.0,4,32727.27273,1,0.0,0,1017539,0,817.9166667,8.0,755.0,5905,2002,3,9,2,1,0,1268.46,1,0.0,11,8.81,1,1,5.0,11,0.0,217539,242,37.92727273
6,10,1146,1,0.0,10,1.0,0.0,4,4795.454545,0,0.0,0,1020039,0,818.1818182,7.0,654.5454545,6756,1997,3,9,0,1,0,169.6,5,114.6,8,10.725,2,2,4.0,3,0.0,220039,324,15.80727273
7,10,2450,2,0.0,8,23.0,0.0,3,5909.090909,0,0.0,5,1014191,1,649.0909091,12.0,556.3636364,7396,1995,3,4,1,1,0,163.67,5,735.0,13,10.99,2,2,3.0,7,0.0,214191,167,14.26
8,-1,5088,4,1.0,23,10.0,0.0,0,12727.27273,0,0.0,0,1038170,0,699.2424242,22.0,645.4545455,6240,2000,5,8,1,0,0,315.83,5,0.0,4,12.62,3,2,11.0,9,0.0,238170,112,9.372727273
9,0,0,3,1.0,27,8.0,0.0,4,2727.272727,2,0.0,0,1011979,0,859.0909091,12.0,736.3636364,14427,1976,3,4,2,0,0,90.21,6,0.0,12,19.646,4,5,5.0,10,0.0,211979,500,12.13
10,9,1151,2,0.0,0,9.0,0.0,4,3818.181818,0,0.0,0,1040514,1,992.7272727,2.0,850.9090909,8857,1991,3,4,1,3,0,143.53,0,0.0,13,13.99,3,0,1.0,7,0.0,240514,414,10.34545455
11,10,2719,0,0.0,2,2.0,0.0,4,7000.0,0,0.0,0,1028447,1,913.6363636,5.0,730.9090909,8766,1992,3,2,0,3,0,250.52,6,0.0,10,17.27,4,5,4.0,2,0.0,228447,162,0.0
12,8,1129,2,1.0,17,11.0,0.0,4,5454.545455,2,0.0,0,1048393,0,650.0,8.0,600.0,3043,2008,3,2,2,3,0,189.64,0,112.9,12,19.341,4,0,3.0,6,0.0,248393,657,27.85090909
13,10,930,6,0.0,0,7.0,0.0,0,2000.0,2,0.0,0,1019449,1,886.6666667,2.0,760.0,8156,1994,3,1,1,3,0,72.56,6,186.0,10,20.075,4,5,2.0,5,0.0,219449,314,20.81
